Gender,Occupation,Education,Home Ownership,Having Money / Jewelry / Livestock / Other Savings,Roof Type,Wall Type,Floor Type,Source of Lighting,Cooking Fuel,Source of Drinking Water,Have Defecation facilities,Beneficiaries,Stunting Risk
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Non-Listrik,Listrik/Gas,Sumur Bor,"Ya, tanpa Septic Tank",Tidak,1
Laki-laki,Wiraswasta,Tidak tamat SD/sederajat,Menumpang,Ya,Kayu/Sirap,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Ya,Asbes/Seng,Kayu/Papan,Semen,Non-Listrik,Arang/Kayu,Air Hujan,"Ya, tanpa Septic Tank",Tidak,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Bambu,Semen,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Ya, tanpa Septic Tank",Tidak,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Ya, tanpa Septic Tank",Ya,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Tidak,Kayu/Sirap,Tembok,Semen,Listrik Bersama,Minyak Tanah,Sumur Bor,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Minyak Tanah,Sumur Terlindung,"Ya, tanpa Septic Tank",Ya,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Kayu/Sirap,Bambu,Semen,Listrik Bersama,Minyak Tanah,Sumur Terlindung,"Ya, tanpa Septic Tank",Ya,1
Laki-laki,Petani,Tamat SMP/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Seng,Semen,Listrik Bersama,Minyak Tanah,Sumur Bor,"Ya, tanpa Septic Tank",Tidak,1
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Minyak Tanah,Sumur Terlindung,"Ya, tanpa Septic Tank",Tidak,1
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Minyak Tanah,Sumur Terlindung,"Ya, tanpa Septic Tank",Tidak,1
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Tidak,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Minyak Tanah,Sumur Terlindung,"Ya, tanpa Septic Tank",Tidak,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Minyak Tanah,Sumur Terlindung,"Ya, tanpa Septic Tank",Tidak,1
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Minyak Tanah,Sumur Terlindung,"Ya, tanpa Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Tidak,Kayu/Sirap,Bambu,Semen,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Ya, tanpa Septic Tank",Tidak,1
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Bambu,Semen,Listrik Bersama,Minyak Tanah,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Tembok,Semen,Listrik Bersama,Minyak Tanah,Sumur Terlindung,"Ya, tanpa Septic Tank",Ya,1
Perempuan,Petani,Tidak/belum sekolah,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Minyak Tanah,Sumur Terlindung,"Ya, tanpa Septic Tank",Ya,0
Perempuan,Petani,Tidak/belum sekolah,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Tembok,Semen,Listrik Bersama,Minyak Tanah,Sumur Bor,"Ya, tanpa Septic Tank",Ya,0
Perempuan,Petani,Tidak/belum sekolah,Milik Sendiri,Ya,Asbes/Seng,Bambu,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, tanpa Septic Tank",Tidak,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Perempuan,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Tanah,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Perempuan,Petani,Tidak/belum sekolah,Milik Sendiri,Tidak,Asbes/Seng,Tembok,Semen,Non-Listrik,Arang/Kayu,Sumur Bor,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Tidak,Asbes/Seng,Tembok,Semen,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Tanah,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Tidak/belum bekerja,Tidak tamat SD/sederajat,Bebas Sewa,Tidak,Asbes/Seng,Seng,Semen,Listrik Bersama,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Pegawai Swasta,Tamat Perguruan Tinggi,Milik Sendiri,Ya,Asbes/Seng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Perempuan,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Bambu,Bambu,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Kontrak/Sewa,Ya,Asbes/Seng,Kayu/Papan,Bambu,Listrik Bersama,Arang/Kayu,"Air Permukaan (Sungai, Danau, dll)","Tidak, Jamban Umum/Bersama",Tidak,1
Perempuan,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Bersama,Arang/Kayu,Sumur Bor,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Perempuan,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Perempuan,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Kayu/Papan,Semen,Non-Listrik,Arang/Kayu,Sumur Bor,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Ya,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Ya, tanpa Septic Tank",Ya,0
Perempuan,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Bor,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Ya,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Ya, tanpa Septic Tank",Tidak,0
Perempuan,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Bor,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Ya,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Ya, tanpa Septic Tank",Tidak,0
Perempuan,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Bambu,Semen,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Ya, tanpa Septic Tank",Ya,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Kayu/Papan,Tanah,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Kayu/Papan,Tanah,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Perempuan,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Kayu/Papan,Tanah,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Perempuan,Tidak/belum bekerja,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Perempuan,Petani,Tidak/belum sekolah,Milik Sendiri,Ya,Asbes/Seng,Kayu/Papan,Tanah,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Perempuan,Petani,Tidak/belum sekolah,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Bambu,Tanah,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Bersama,Minyak Tanah,Sumur Terlindung,"Ya, tanpa Septic Tank",Tidak,1
Perempuan,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Non-Listrik,Listrik/Gas,Ledeng/PAM,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Tidak,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, tanpa Septic Tank",Ya,0
Laki-laki,Pedagang,Tamat SD/sederajat,Milik Sendiri,Tidak,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,1
Perempuan,Pedagang,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Pedagang,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Kayu/Sirap,Tembok,Bambu,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,2
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,2
Laki-laki,Pedagang,Tamat SD/sederajat,Milik Sendiri,Tidak,Kayu/Sirap,Kayu/Papan,Bambu,Listrik Bersama,Listrik/Gas,Air Kemasan/Isi Ulang,"Ya, dengan Septic Tank",Ya,2
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,1
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Pedagang,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Tanah,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, tanpa Septic Tank",Ya,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Perempuan,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, tanpa Septic Tank",Tidak,0
Laki-laki,Pedagang,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Tidak,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Pedagang,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Kayu/Papan,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Ya, tanpa Septic Tank",Tidak,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,2
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,1
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,2
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Pedagang,Siswa SMA/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Pedagang,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,2
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Pedagang,Tamat SMP/sederajat,Milik Sendiri,Tidak,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,2
Laki-laki,Pekerja Lepas,Tamat SMP/sederajat,Milik Sendiri,Tidak,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,2
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Kayu/Papan,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, tanpa Septic Tank",Ya,0
Laki-laki,Pedagang,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Bor,"Ya, tanpa Septic Tank",Tidak,0
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Tembok,Semen,Listrik Bersama,Arang/Kayu,Sumur Bor,"Ya, tanpa Septic Tank",Tidak,0
Laki-laki,Tidak/belum bekerja,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Tembok,Semen,Listrik Bersama,Arang/Kayu,Sumur Bor,"Ya, tanpa Septic Tank",Tidak,0
Laki-laki,Nelayan,Tamat SMP/sederajat,Menumpang,Tidak,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Bor,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Bor,"Ya, tanpa Septic Tank",Tidak,1
Perempuan,Wiraswasta,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Bor,"Tidak, Jamban Umum/Bersama",Tidak,0
Perempuan,Tidak/belum bekerja,Tidak tamat SD/sederajat,Menumpang,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Bor,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Bambu,Tanah,Listrik Bersama,Listrik/Gas,Sumur Bor,"Tidak, Jamban Umum/Bersama",Tidak,1
Perempuan,Tidak/belum bekerja,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Bor,"Ya, tanpa Septic Tank",Tidak,0
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Menumpang,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Bor,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Bor,"Ya, tanpa Septic Tank",Tidak,1
Laki-laki,Nelayan,Tamat SMP/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Bambu,Semen,Listrik Bersama,Listrik/Gas,Sumur Bor,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Nelayan,Tamat SMP/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Ya,2
Perempuan,Tidak/belum bekerja,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Bor,"Ya, tanpa Septic Tank",Tidak,0
Perempuan,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Bor,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Bor,"Tidak, Jamban Umum/Bersama",Ya,0
Perempuan,Tidak/belum bekerja,Tidak tamat SD/sederajat,Menumpang,Tidak,Asbes/Seng,Kayu/Papan,Tanah,Listrik Bersama,Listrik/Gas,Sumur Bor,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Listrik/Gas,Sumur Bor,"Ya, tanpa Septic Tank",Tidak,1
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,2
Perempuan,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Bor,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Nelayan,Tamat SMP/sederajat,Menumpang,Tidak,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Tembok,Semen,Listrik Bersama,Minyak Tanah,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Ya,Asbes/Seng,Kayu/Papan,Semen,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Perempuan,Tidak/belum bekerja,Tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Nelayan,Tamat SMP/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,1
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Petani,Siswa SMP/sederajat,Milik Sendiri,Ya,Asbes/Seng,Kayu/Papan,Tanah,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Nelayan,Tidak/belum sekolah,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Pekerja Lepas,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Bambu,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,1
Laki-laki,Wiraswasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Wiraswasta,Tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Pegawai Swasta,Tamat SMP/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,2
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,2
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Semen,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,1
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Ya,Asbes/Seng,Tembok,Tanah,Listrik Bersama,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,1
