Date,Open,High,Low,Close,Adj Close,Volume
2020-11-20,2190.000000,2220.000000,2180.000000,2200.000000,1845.499634,8269000
2020-11-23,2210.000000,2290.000000,2190.000000,2280.000000,1912.608521,10993900
2020-11-24,2310.000000,2340.000000,2280.000000,2320.000000,1946.163208,8225400
2020-11-25,2330.000000,2380.000000,2280.000000,2300.000000,1929.385864,7864100
2020-11-26,2300.000000,2370.000000,2290.000000,2330.000000,1954.551880,3246300
2020-11-27,2350.000000,2370.000000,2330.000000,2350.000000,1971.328979,3868100
2020-11-30,2350.000000,2350.000000,2200.000000,2200.000000,1845.499634,8941400
2020-12-01,2200.000000,2270.000000,2170.000000,2230.000000,1870.665405,4509200
2020-12-02,2250.000000,2520.000000,2220.000000,2510.000000,2105.547363,79432000
2020-12-03,2530.000000,2550.000000,2450.000000,2480.000000,2080.381104,25791500
2020-12-04,2470.000000,2660.000000,2440.000000,2580.000000,2164.267822,45824900
2020-12-07,2600.000000,2730.000000,2560.000000,2660.000000,2231.376709,29331100
2020-12-08,2660.000000,2710.000000,2620.000000,2640.000000,2214.599609,16916200
2020-12-10,2640.000000,2680.000000,2500.000000,2560.000000,2147.490479,18399100
2020-12-11,2560.000000,2670.000000,2530.000000,2670.000000,2239.765381,15222700
2020-12-14,2690.000000,3330.000000,2680.000000,3330.000000,2793.415283,106774100
2020-12-15,3430.000000,3740.000000,3170.000000,3390.000000,2843.747070,67602600
2020-12-16,3470.000000,4230.000000,3430.000000,4230.000000,3548.392090,44270300
2020-12-17,4270.000000,5000.000000,3940.000000,3940.000000,3305.121826,96985000
2020-12-18,3930.000000,4660.000000,3900.000000,4560.000000,3825.217041,70122700
2020-12-21,4620.000000,5700.000000,4590.000000,5500.000000,4613.749023,88663500
2020-12-22,5625.000000,6000.000000,5125.000000,5250.000000,4404.032715,55457400
2020-12-23,5250.000000,5850.000000,4960.000000,5650.000000,4739.578613,71809400
2020-12-28,5650.000000,5650.000000,5650.000000,5650.000000,4739.578613,0
2020-12-29,5800.000000,6475.000000,5275.000000,5275.000000,4425.004395,84006800
2020-12-30,5250.000000,5375.000000,4930.000000,5050.000000,4236.260254,33870200
2021-01-04,5100.000000,5825.000000,5075.000000,5800.000000,4865.407715,49203300
2021-01-05,5700.000000,5950.000000,5500.000000,5575.000000,4676.664063,26195300
2021-01-06,5625.000000,5700.000000,5275.000000,5450.000000,4571.806152,17929900
2021-01-07,5525.000000,5900.000000,5450.000000,5900.000000,4949.293945,36782600
2021-01-08,5900.000000,5900.000000,5900.000000,5900.000000,4949.293945,0
2021-01-11,5900.000000,5900.000000,5900.000000,5900.000000,4949.293945,0
2021-01-12,5900.000000,5900.000000,5900.000000,5900.000000,4949.293945,0
2021-01-13,5950.000000,6450.000000,5775.000000,6375.000000,5347.753906,32808000
2021-01-14,6400.000000,6425.000000,6050.000000,6200.000000,5200.953125,14430700
2021-01-15,6200.000000,6375.000000,6000.000000,6150.000000,5159.010254,8743700
2021-01-18,6150.000000,6275.000000,5725.000000,5725.000000,4802.493164,12987900
2021-01-19,5725.000000,6050.000000,5325.000000,5675.000000,4760.550293,15727600
2021-01-20,5550.000000,5975.000000,5500.000000,5825.000000,4886.379395,8017200
2021-01-21,5900.000000,5925.000000,5525.000000,5625.000000,4718.606934,4587200
2021-01-22,5625.000000,5725.000000,5300.000000,5475.000000,4592.777832,5238000
2021-01-25,5350.000000,5600.000000,5100.000000,5375.000000,4508.891602,5862400
2021-01-26,5375.000000,5700.000000,5125.000000,5425.000000,4550.834473,8630800
2021-01-27,5500.000000,5800.000000,5275.000000,5500.000000,4613.749023,14300100
2021-01-28,5500.000000,5550.000000,5125.000000,5175.000000,4341.118164,10388100
2021-01-29,5175.000000,5300.000000,4820.000000,5025.000000,4215.288574,8935400
2021-02-01,4900.000000,5250.000000,4770.000000,5100.000000,4278.203613,6319300
2021-02-02,5150.000000,5550.000000,5000.000000,5375.000000,4508.891602,9211400
2021-02-03,5450.000000,5450.000000,5000.000000,5175.000000,4341.118164,7665800
2021-02-04,5200.000000,5900.000000,5200.000000,5575.000000,4676.664063,26673800
2021-02-05,5625.000000,5650.000000,5325.000000,5450.000000,4571.806152,6752700
2021-02-08,5500.000000,5675.000000,5450.000000,5500.000000,4613.749023,8022400
2021-02-09,5600.000000,5725.000000,5400.000000,5500.000000,4613.749023,6527900
2021-02-10,5575.000000,5850.000000,5350.000000,5800.000000,4865.407715,14106600
2021-02-11,5825.000000,6150.000000,5800.000000,5950.000000,4991.237793,12824600
2021-02-15,5950.000000,6100.000000,5900.000000,6050.000000,5075.124023,7422600
2021-02-16,6050.000000,6100.000000,5875.000000,6075.000000,5096.095703,7485900
2021-02-17,6025.000000,6075.000000,5650.000000,5775.000000,4844.436523,9238700
2021-02-18,5675.000000,5800.000000,5550.000000,5575.000000,4676.664063,6714500
2021-02-19,5575.000000,5725.000000,5275.000000,5700.000000,4781.521484,5512200
2021-02-22,5900.000000,6050.000000,5750.000000,6000.000000,5033.180664,17604100
2021-02-23,6000.000000,6050.000000,5650.000000,5800.000000,4865.407715,14585900
2021-02-24,5825.000000,5950.000000,5625.000000,5675.000000,4760.550293,7099100
2021-02-25,5700.000000,5775.000000,5650.000000,5700.000000,4781.521484,4410300
2021-02-26,5600.000000,5800.000000,5550.000000,5550.000000,4655.692383,9904500
2021-03-01,5550.000000,5950.000000,5375.000000,5775.000000,4844.436523,7796800
2021-03-02,5775.000000,5825.000000,5575.000000,5575.000000,4676.664063,3508800
2021-03-03,5575.000000,5700.000000,5575.000000,5650.000000,4739.578613,1920000
2021-03-04,5650.000000,6050.000000,5575.000000,5750.000000,4823.464844,8914000
2021-03-05,5750.000000,5750.000000,5575.000000,5625.000000,4718.606934,4176900
2021-03-08,5700.000000,5725.000000,5600.000000,5675.000000,4760.550293,3045900
2021-03-09,5675.000000,5875.000000,5600.000000,5600.000000,4697.635254,7766000
2021-03-10,5575.000000,5700.000000,5400.000000,5450.000000,4571.806152,3419500
2021-03-12,5450.000000,5650.000000,5400.000000,5650.000000,4739.578613,3818600
2021-03-15,5650.000000,5750.000000,5625.000000,5625.000000,4718.606934,3364200
2021-03-16,5625.000000,6600.000000,5625.000000,6175.000000,5179.981934,44058500
2021-03-17,6175.000000,6450.000000,5950.000000,6050.000000,5075.124023,14434100
2021-03-18,6100.000000,7025.000000,5975.000000,6600.000000,5536.499023,30092900
2021-03-19,6625.000000,6950.000000,6500.000000,6650.000000,5578.442383,39537200
2021-03-22,6700.000000,6700.000000,6200.000000,6200.000000,5200.953125,6458500
2021-03-23,6200.000000,6400.000000,6000.000000,6150.000000,5159.010254,10871200
2021-03-24,6150.000000,6350.000000,6050.000000,6150.000000,5159.010254,3661400
2021-03-25,6200.000000,6800.000000,6125.000000,6675.000000,5599.413574,15647100
2021-03-26,6700.000000,6750.000000,6400.000000,6475.000000,5431.640625,6629300
2021-03-29,6500.000000,6675.000000,6400.000000,6400.000000,5368.725586,4137600
2021-03-30,6500.000000,6500.000000,6150.000000,6250.000000,5242.896484,5198600
2021-03-31,6350.000000,6675.000000,5900.000000,6275.000000,5263.868164,12152100
2021-04-01,6250.000000,6400.000000,6175.000000,6400.000000,5368.725586,3360900
2021-04-05,6400.000000,6475.000000,6150.000000,6375.000000,5347.753906,3600900
