energy_0,contrast_0,correlation_0,homogeneity_0,energy_45,contrast_45,correlation_45,homogeneity_45,energy_90,contrast_90,correlation_90,homogeneity_90,energy_135,contrast_135,correlation_135,homogeneity_135,label
0.720394115,92.60536235,0.980774709,0.816880041,0.718097745,130.0307922,0.973070362,0.79881375,0.720460783,91.77441026,0.980947219,0.819642553,0.718663259,111.2280273,0.976964452,0.801746032,1
0.775297031,62.78571863,0.983669152,0.860961717,0.773400585,93.43051147,0.97576605,0.842459123,0.774926255,75.70859679,0.980307853,0.857240072,0.773327342,94.3789978,0.975520032,0.845669722,1
0.853600087,45.71461576,0.976384818,0.904867214,0.852531028,58.15884399,0.970053927,0.89480282,0.853402694,53.35238327,0.972439312,0.904556904,0.851966146,73.62854004,0.962088558,0.89498547,1
0.828143282,62.11177651,0.975957672,0.891068425,0.826680806,83.8765564,0.967633749,0.879140554,0.828191173,60.56146644,0.976557768,0.893439872,0.826726433,84.80697632,0.967274719,0.879163832,1
0.80429447,71.89600559,0.977475372,0.875254288,0.803071119,85.50878906,0.973290205,0.862391236,0.803971814,81.97121231,0.974318864,0.873437706,0.802092459,117.8673401,0.963182586,0.85840398,1
0.767766293,58.11238448,0.982668929,0.855237585,0.765768516,87.54650879,0.973962737,0.837225896,0.767719544,62.3151143,0.981415533,0.85312274,0.766119943,75.09292603,0.977666565,0.838164466,1
0.774691626,67.97221547,0.979560091,0.853466222,0.773044992,88.01385498,0.973607307,0.839678365,0.77512355,56.04246717,0.983147483,0.858660359,0.773032452,87.57458496,0.973739031,0.840261844,1
0.805414169,70.84843142,0.975422446,0.875534837,0.803400242,106.25354,0.96325017,0.863918993,0.805499822,70.00088157,0.975716464,0.881353034,0.804119753,85.64059448,0.970379554,0.865625009,1
0.812399906,60.44452213,0.976489621,0.873680922,0.810358461,94.4942627,0.96335714,0.85991374,0.81179237,78.09818823,0.969623087,0.87337161,0.810602967,90.72488403,0.964818825,0.860793993,1
0.824215968,58.27702456,0.978035247,0.887552655,0.822510573,84.12295532,0.968391663,0.876242373,0.823988637,66.06821498,0.975098728,0.887416259,0.822845734,78.92221069,0.970345789,0.874631971,1
0.754975519,77.92324295,0.98049014,0.853635705,0.752982896,106.4873962,0.97340931,0.83401873,0.755013935,75.27109679,0.981154165,0.850579306,0.753337433,98.68057251,0.975358731,0.835962922,1
0.760258906,44.94467163,0.98239528,0.84519863,0.758406281,60.44191176,0.976389323,0.831303019,0.76031566,45.93362325,0.982008101,0.851304381,0.758529424,61.93042279,0.975807859,0.831175908,1
0.589196812,55.73893482,0.983266024,0.739336619,0.588066585,62.751297,0.981172109,0.718171983,0.589780074,55.47370501,0.983349116,0.748899905,0.586785946,91.02981567,0.9726873,0.716349238,1
0.84236935,40.46890199,0.975575755,0.898548798,0.841041251,54.34274292,0.967306789,0.889322149,0.842511135,37.78660019,0.977194608,0.902585712,0.841101945,51.97900391,0.968728841,0.889755424,1
